model,mean,std,median,min,max,count
CNN,0.9584627696777155,0.021953316319780793,0.9632087636419074,0.8772340881945011,0.985396939218104,30
KAN,0.9555390792523363,0.04803304673906828,0.9736375333327669,0.8339977082562614,0.9926235641795871,30
MLP,0.9844099061196904,0.008996610722565225,0.986412882670499,0.9590408974941144,0.9952452652888845,30
PLS,0.9897325011855419,0.007210496198704321,0.9920804672623209,0.964046307759557,0.997033983425139,30
RF,0.8840960311770838,0.05937741923687304,0.9009135905653498,0.7318491397216428,0.9551233143779427,30
SVM,0.8590972670799252,0.15289197097249865,0.9017929683773116,0.14610031358012932,0.9641362028080874,30
