split,CNN,KAN,MLP,PLS,RF,SVM
0,0.9732394399388778,0.9862391623711321,0.9937745016423032,0.995156249088831,0.931839629372809,0.8903730218603072
1,0.8772340881945011,0.9596796472730066,0.9820626878423842,0.9724244036236137,0.9157203253690731,0.7264829722447557
2,0.9673536098469351,0.9843016138862338,0.9883324117185366,0.9934737239645439,0.9551233143779427,0.68813746040485
3,0.9449263666272743,0.9796979718063359,0.9882251581301156,0.9928768198283449,0.8479222974663673,0.9006162946229956
4,0.9390272463630953,0.8339977082562614,0.9832864524600167,0.9883157693022447,0.7931713096660826,0.8779043626565457
5,0.9608307928631428,0.9685322491942028,0.983502108732252,0.9834753988495517,0.9175023063648816,0.8222518357528635
6,0.9600582659026313,0.8836044919572462,0.9814602494100139,0.9865229527453762,0.9184843644852946,0.6968790253355789
7,0.9751818993447325,0.9821285118356796,0.9930447957986864,0.9954356118042796,0.947904686130709,0.9352898207527881
8,0.9395053473766372,0.9833685116981529,0.9871089244428936,0.9888022870624392,0.9169317124764184,0.9032675839176242
9,0.9648752592129287,0.9765624348940855,0.9757012890852281,0.98790537387064,0.8820333411777187,0.8710735049813282
10,0.9763776951251423,0.9664109305668366,0.9795792110642392,0.9898171223896672,0.9473313771266052,0.8935340356332405
11,0.9452988232087984,0.8505678318134529,0.9862925019450632,0.993846058991435,0.8104328030786924,0.9562474890124487
12,0.9382624656574254,0.9707233160490993,0.9756491638154347,0.9926119798476126,0.8843250779162996,0.8274665875855806
13,0.9626333616305089,0.9683005600278586,0.9919664261538593,0.980741395606678,0.8979708566179577,0.9215455931476997
14,0.915866627071783,0.8620935534091891,0.9591674791476911,0.964046307759557,0.8468170092238356,0.14610031358012932
15,0.985396939218104,0.9840983846410172,0.9945032971775748,0.9957600166883337,0.9490965668676822,0.9631662015282213
16,0.9510144927869334,0.9663165399875212,0.9807653693345373,0.989512130820136,0.7728713383393339,0.9574374646986312
17,0.978323583078094,0.9732278570064515,0.9865332633959348,0.9922393912567516,0.8643440319830397,0.8536066454471964
18,0.9775102695352835,0.9906130599925477,0.992461681368303,0.995109819051646,0.903856324512742,0.8886131587447943
19,0.9677274445687974,0.9453786392900525,0.9897696383080924,0.9957531425779035,0.9329070004841826,0.9486775388292672
20,0.9562608316102457,0.9848934288430659,0.9778358650247017,0.987957001649942,0.7790785135819476,0.9202564070449333
21,0.9637841656533059,0.9728505604832921,0.9836939731808616,0.9854290732495021,0.938909708167652,0.844188429646642
22,0.9760466184500333,0.9768979387182428,0.9952452652888845,0.9915545728542934,0.8902558945367799,0.9508807104546619
23,0.9511022789976689,0.9743147140401645,0.9782484972555867,0.993980827897437,0.7318491397216428,0.9121793953065463
24,0.9740272053210753,0.8367883327470299,0.9590408974941144,0.9919215432678902,0.9109567504729066,0.8523936368524403
25,0.9757919459254049,0.9785121696853771,0.9818179629647948,0.994140733795226,0.8460550577018431,0.9208994898719394
26,0.9552549550899172,0.970411683486266,0.9933232050905161,0.997033983425139,0.9336488620659741,0.9098536003128191
27,0.9556483537725721,0.9889897997716169,0.9883569013323497,0.9961196729669629,0.891532484804208,0.9264895872312142
28,0.9801850072905843,0.9926235641795871,0.9876884296177851,0.9939742828584708,0.9277595234782011,0.9641362028080874
29,0.965137710669028,0.9740472096590824,0.9938595753679567,0.9860373884718105,0.8362493277436903,0.9029696421316276
