arm,model,T1,T2,T3,T4,T5
A,CNN,0.9284106707897104,0.8571076633284457,0.9648062058648129,0.9862306970710787,0.9663690332623127
A,KAN,0.9533420450788225,0.9770392379970464,0.986148320688003,0.9767020397760945,0.9482598783318984
A,MLP,0.8956660820852836,0.9776519884506962,0.9944480626672788,0.9870059946858992,0.9406344255571422
A,PLS,0.8368302889555296,0.9805479604706173,0.9919854988166804,0.9877202584122468,0.9519872195620475
A,RF,0.5900334573539754,0.9630556361665249,0.9223798127342097,0.906887460043174,0.9419513294191515
A,SVM,0.30729706827285796,0.8800659823192452,0.9576215944429123,0.8685062443686479,0.915597662618319
B,KAN,0.9674881783555063,0.992917527328745,0.9896344088261427,0.978365438817875,0.9534687338092818
B,MLP,0.8956660820852836,0.9766319900572169,0.9918248340381397,0.9875407337680061,0.9425527179906448
B,PLS,0.8368302889555296,0.9805479604706173,0.9807809106885074,0.9877202584122468,0.9519872195620475
B,RF,0.9063912393115734,0.9885147115386316,0.9842849544042293,0.9835863282984342,0.9686228323202203
B,SVM,0.9361614300141687,0.9788234186536872,0.9777378861693089,0.9897510064950843,0.9351025733199763
F,CNN,0.92660148341411,0.8464425065740748,0.9648062058648129,0.9807234977035169,0.9533824197122277
F,KAN,0.8413825654260472,0.9770392958425046,0.978582064485504,0.9643612927539528,0.9406641753083235
F,MLP,0.8853351905837954,0.9758415000830506,0.9944480626672788,0.9848704913464578,0.9320762651412612
F,PLS,0.9685969347594673,0.97018517942032,0.9941834515960728,0.9892246449245613,0.9521901332171083
F,RF,0.5890727979928477,0.9633742759942213,0.9223798127342097,0.9060564577950688,0.9434160516162081
F,SVM,0.2914042367278942,0.8916468687728909,0.9571441588158642,0.8420018132623832,0.9055779649239171
