model,oof_R2,LOD_pooled,LOQ_pooled,LOD_per_repeat,authentic_bias_pp
PLS,0.9891340845081897,9.260633974419964,28.06252719521201,"[np.float64(10.31), np.float64(7.53), np.float64(9.59)]",3.1416473430592395
SVM,0.9148649974742291,23.40929908717254,70.9372699611289,"[np.float64(23.71), np.float64(22.45), np.float64(23.92)]",11.326596993810787
RF,0.9248281612032838,16.406850170439593,49.71772778921089,"[np.float64(14.09), np.float64(16.79), np.float64(17.01)]",4.687030632183908
MLP,0.9828777706099042,10.755114547773635,32.591256205374656,"[np.float64(10.38), np.float64(10.04), np.float64(11.77)]",3.8646092368479223
CNN,0.9625081128203421,15.70880845898422,47.60244987570976,"[np.float64(13.5), np.float64(16.58), np.float64(16.31)]",4.078265651362223
KAN,0.9600166937594669,19.255296941962296,58.34938467261302,"[np.float64(27.02), np.float64(11.93), np.float64(12.56)]",4.272668138633883
