dataset,model,budget,updates,n_params,mean,std,min,max,count
mango,KAN,mlp_budget,32200,8996,0.8538370136053306,0.005805438242848222,0.8485215382195318,0.8627456847332183,5
mango,KAN,own,300,8996,0.860394025559341,0.00783805196549193,0.8478657088550793,0.8675958792167611,5
mango,MLP,kan_budget,322,8989,0.8831268646544043,0.005062151708829893,0.8748025300660501,0.8876597196869277,5
mango,MLP,own,32200,8989,0.8943127448308207,0.004890944983727013,0.889004176543181,0.8985381339163305,5
tahini,KAN,mlp_budget,3600,684,0.9617218885029294,0.03619066418762086,0.9157354634708731,0.9939523162388298,5
tahini,KAN,own,300,684,0.9796692003465852,0.01181649757088591,0.9606341380465365,0.9880020016132964,5
tahini,MLP,kan_budget,306,689,0.9860664797439085,0.005715669779684455,0.9766124206197118,0.9906180109381816,5
tahini,MLP,own,3600,689,0.9918077962538131,0.0014473279651503565,0.9902724533309991,0.9940687683137929,5
