arm,model,metric,median,ci_lo,ci_hi,n_valid_draws
F,CNN,R2,0.9448689069608807,0.869035977048777,0.9772881129593977,2000
F,CNN,LOD,19.748928530203628,4.072957907969086,29.532028549081634,1990
F,KAN,R2,0.956654368779712,0.891480119962087,0.9849932407228089,2000
F,KAN,LOD,14.840521463702228,3.68265627754387,21.982631977810364,1990
F,MLP,R2,0.9597322915121582,0.906279453711555,0.9891811506918485,2000
F,MLP,LOD,15.27800865350741,2.5356675101653545,20.749097963156018,1990
F,PLS,R2,0.9755355414269998,0.9471101782796195,0.9913472330853067,2000
F,PLS,LOD,9.931524937572227,3.694167567491987,16.28607151964574,1990
F,RF,R2,0.8831184664950419,0.715450441402798,0.9556808367658607,2000
F,RF,LOD,28.07448000174976,7.1533709921645015,41.794209083434176,1990
F,SVM,R2,0.8295280785296137,0.46988823979870936,0.938329480366126,2000
F,SVM,LOD,31.57865259816857,19.0831475974421,66.73952885285028,1990
A,CNN,R2,0.9500462153536564,0.8810030128934906,0.9812180673323747,2000
A,CNN,LOD,17.76338839133012,2.744121539571625,26.823786061037847,1990
A,KAN,R2,0.9767182186536898,0.9558931418854383,0.9882637343855994,2000
A,KAN,LOD,8.19144728597253,2.978469075396539,13.887839058326588,1990
A,MLP,R2,0.9633028725696001,0.9150576351427336,0.9904793768547197,2000
A,MLP,LOD,15.303817549650542,1.6401862117682409,19.87697539166149,1990
A,PLS,R2,0.9600582470253641,0.8798817839567791,0.9894958387601934,2000
A,PLS,LOD,14.59010663774526,3.41045586242827,24.833032784185665,1990
A,RF,R2,0.8828189147684764,0.7152432162559408,0.9557125491587257,2000
A,RF,LOD,27.96351724398988,7.28342675614098,41.66620863058222,1990
A,SVM,R2,0.8412398575158653,0.4893342592568849,0.9386733090586032,2000
A,SVM,LOD,26.850461061349996,17.919560854605276,65.20403878731915,1990
B,KAN,R2,0.9808975051015976,0.9648867671976469,0.9923083712680972,2000
B,KAN,LOD,7.282527357462738,3.1098911655794823,10.743570598625945,1990
B,MLP,R2,0.9631145629112344,0.915911023952603,0.9889398252600933,2000
B,MLP,LOD,15.311808167729247,2.310423680810312,20.487489658798708,1990
B,PLS,R2,0.95757855257129,0.8796952885946683,0.9870084903120684,2000
B,PLS,LOD,13.57235264022436,4.940669634919912,24.198881935465376,1990
B,RF,R2,0.9710216251845358,0.9258711528258525,0.9874630549460338,2000
B,RF,LOD,8.919998595676095,0.0729630038861666,22.175753794742338,1990
B,SVM,R2,0.9646926016492481,0.9275192136522307,0.9868677789445023,2000
B,SVM,LOD,14.499111874663825,7.442974724993419,19.48164735353208,1990
