arm,model,oof_R2_tahini,oof_LOD_pct,sigma_blank,slope,LOQ_pct,authentic_bias_pct,authentic_FPR_spectra,identification_acc_all,identification_acc_le12pct,detection_rate_le12pct
F,CNN,0.9417316219526417,22.532332716311437,6.282448575603185,0.9201035933790511,68.27979611003467,4.76703543287795,0.1830238726790451,0.93,0.6,0.5263157894736842
F,KAN,0.9536323834330757,17.521500482624944,4.790435953476188,0.90223087127428,53.095456007954375,6.499775711990478,0.34350132625994695,0.94125,0.6842105263157895,0.8736842105263158
F,MLP,0.9583105954364839,17.671317173511166,4.844549070629858,0.904687057342994,53.54944598033687,6.198667615625735,0.3859416445623342,0.9775,0.9578947368421052,0.9789473684210527
F,PLS,0.974715416852399,12.931050871165741,3.6539283326325593,0.9324813286888272,39.18500263989618,5.20939151193634,0.253315649867374,0.975,0.8315789473684211,0.9368421052631579
F,RF,0.8776670999271904,32.84565549611632,8.419956190517507,0.8459522274412571,99.53228938217069,7.26090197612732,0.3713527851458886,0.88625,0.4421052631578947,0.8526315789473684
F,SVM,0.8001051091734903,46.94130483635919,10.416351949480958,0.7322753714051473,142.24637829199753,16.129315716180372,0.7387267904509284,0.9525,0.7368421052631579,1.0
A,CNN,0.9476746826514862,20.707746779488545,5.8054634766759765,0.9251624368908717,62.75074781663195,4.961341058543885,0.1870026525198939,0.93,0.6210526315789474,0.5473684210526316
A,KAN,0.9765693870269155,10.309119341546534,2.8883057727079744,0.924560938151527,31.239755580444044,4.343766547219085,0.16445623342175067,0.97,0.8,0.6842105263157895
A,MLP,0.9622754657192181,17.517921605011455,4.860994777923429,0.9157069616385479,53.08461092427714,5.462911536691466,0.383289124668435,0.98375,0.9578947368421052,0.968421052631579
A,PLS,0.9542968005761429,19.475121575633544,5.395364763934408,0.9142281167199514,59.015519926162256,6.917908395225465,0.39389920424403185,0.9775,0.8631578947368421,0.9789473684210527
A,RF,0.8776029143639872,32.834105599624806,8.406681392205783,0.844915617089204,99.49728969583275,7.3518754951370475,0.3726790450928382,0.8875,0.45263157894736844,0.8526315789473684
A,SVM,0.8088359673981407,45.335721277633894,10.089488838648446,0.7344167519391802,137.3809735685876,15.566104588859416,0.7228116710875332,0.94125,0.6631578947368421,1.0
B,KAN,0.981172009407379,8.859444082104062,2.529567529411633,0.9422230977133603,26.846800248800193,3.7811335252513936,0.10610079575596817,0.98,0.8421052631578947,0.4631578947368421
B,MLP,0.9618394134203956,17.583822936754505,4.902581051836138,0.9200796396352573,53.284311929559095,5.427836515121393,0.3793103448275862,0.98875,0.9578947368421052,0.9789473684210527
B,PLS,0.9520911554515423,18.368847070730133,5.063410081056976,0.9096517164712752,55.66317294160647,7.506897864721486,0.40583554376657827,0.9775,0.8631578947368421,0.9789473684210527
B,RF,0.9686341557689232,16.833521301976205,4.825298974946205,0.9459391372530658,51.010670612049104,2.478633231653404,0.20689655172413793,0.97,0.8421052631578947,0.7157894736842105
B,SVM,0.9637939970338234,16.60297175992416,4.583524799379493,0.911019548588416,50.312035636133814,6.18224226790451,0.3859416445623342,0.9825,0.9052631578947369,0.6842105263157895
