arm,model,adulterant,level_pct,lot,n_spectra,identification_acc,detection_rate,pred_adulterant_mean,pred_adulterant_sd,abs_error_mean
F,CNN,sunflower,72,T3,16,1.0,1.0,70.84632567564645,2.731490506742891,2.4589721759160366
F,CNN,sunflower,76,T4,16,1.0,1.0,70.98102601369223,2.9234862962471673,5.179850657780965
F,CNN,sunflower,80,T5,14,1.0,1.0,79.8653816495623,2.144331790630943,1.4557717187064025
F,CNN,sunflower,84,T1,16,1.0,1.0,63.41812052329382,13.362154776945657,20.983701169490814
F,CNN,sunflower,88,T2,16,1.0,1.0,92.3803187534213,5.022010180407051,5.387471231321492
F,CNN,sunflower,92,T3,16,1.0,1.0,91.48465812206268,3.0946907572511257,2.553636471430461
F,CNN,sunflower,96,T4,16,1.0,1.0,88.01431396603584,3.153170744026338,7.985686033964157
F,CNN,sunflower,100,T5,17,1.0,1.0,95.91705668206309,3.2970172721445743,4.082943317936916
F,KAN,peanut,4,T1,16,0.125,1.0,14.215072472890217,1.7593402629886363,10.215072472890217
F,KAN,peanut,8,T2,16,0.5,1.0,14.403287728627522,1.4562395902745684,6.4032877286275225
F,KAN,peanut,12,T3,16,1.0,0.5625,9.051008065541584,1.7944903941813746,2.95253610610962
F,KAN,peanut,16,T4,16,0.9375,1.0,25.65440805753072,2.1958320324459857,9.65440805753072
F,KAN,peanut,20,T5,16,1.0,1.0,26.457006136576332,1.8031838207824922,6.457006136576335
F,KAN,peanut,24,T1,16,1.0,1.0,29.908558766047157,1.91463491614722,5.9085587660471575
F,KAN,peanut,28,T2,16,1.0,1.0,29.843030850092568,1.1754124193733662,1.9628654321034738
F,KAN,peanut,32,T3,16,1.0,1.0,25.599485397338867,2.5897237689763384,6.400514602661133
F,KAN,peanut,36,T4,16,1.0,1.0,42.88397192955017,2.5818591781895406,6.883971929550171
F,KAN,peanut,40,T5,16,1.0,1.0,45.10383208592733,1.355072371057833,5.103832085927328
F,KAN,peanut,44,T1,16,1.0,1.0,48.45151956876119,1.2552301078602581,4.45151956876119
F,KAN,peanut,48,T2,16,1.0,1.0,49.48280715942383,1.6569134539015353,1.807127475738525
F,KAN,peanut,52,T3,16,1.0,1.0,46.6659878094991,3.4528713064629386,5.334012190500895
F,KAN,peanut,56,T4,16,1.0,1.0,57.82614839076996,1.8785731508667718,1.9485208590825396
F,KAN,peanut,60,T5,16,1.0,1.0,62.800860722859696,2.7689608413730395,2.9427700042724627
F,KAN,peanut,64,T1,17,1.0,1.0,68.9778523164637,2.407688195240821,4.9778523164636965
F,KAN,peanut,68,T2,16,1.0,1.0,71.7569588025411,1.7367478318474034,3.756958802541095
F,KAN,peanut,72,T3,16,1.0,1.0,68.11158855756125,5.155902089134265,4.407023032506307
F,KAN,peanut,76,T4,16,1.0,1.0,75.68446763356526,1.1366706951876906,0.9673386414845799
F,KAN,peanut,80,T5,16,1.0,1.0,81.7794240117073,1.0721241739293539,1.8004840016365042
F,KAN,peanut,84,T1,16,1.0,1.0,84.18336885174116,2.7204989565254083,2.2043107847372685
F,KAN,peanut,88,T2,16,1.0,1.0,90.20409373442332,1.2122605875782824,2.2426745494206752
F,KAN,peanut,92,T3,16,1.0,1.0,92.11483876407146,0.9150985825213477,0.7580517182747526
F,KAN,peanut,96,T4,16,1.0,1.0,94.1956516864399,2.299421339411946,2.390662055462599
F,KAN,peanut,100,T5,16,1.0,1.0,93.81459315121174,0.8009915652395834,6.18540684878826
F,KAN,sunflower,4,T1,16,1.0,1.0,15.60335032145182,3.334166590019824,11.60335032145182
F,KAN,sunflower,8,T2,16,1.0,0.9375,14.37886063257853,2.004779868349529,6.37886063257853
F,KAN,sunflower,12,T3,15,0.4666666666666667,0.7333333333333333,10.708851453993054,3.3001128190539646,2.8629628499348967
F,KAN,sunflower,16,T4,16,0.0,0.6875,9.617300987243652,2.787339759426448,6.382699012756348
F,KAN,sunflower,20,T5,16,1.0,1.0,30.57298405965169,2.9394443312792036,10.572984059651693
F,KAN,sunflower,24,T1,16,1.0,1.0,33.767329454422,3.028856010895486,9.767329454421997
F,KAN,sunflower,28,T2,16,1.0,1.0,32.231072187423706,3.142006437663839,4.518929560979206
F,KAN,sunflower,32,T3,16,1.0,1.0,30.84878142674764,2.863190211642458,2.449373086293539
F,KAN,sunflower,36,T4,16,1.0,1.0,27.79028590520223,1.7718326098580566,8.209714094797771
F,KAN,sunflower,40,T5,17,1.0,1.0,49.482588674507895,1.2345682343729931,9.48258867450789
F,KAN,sunflower,44,T1,16,1.0,1.0,48.48329567909241,2.1225270591615355,4.604810635248821
F,KAN,sunflower,48,T2,16,1.0,1.0,50.240109841028854,3.5282784042435638,3.3437201976776123
F,KAN,sunflower,52,T3,16,1.0,1.0,49.96115676561992,3.2397241027018584,3.411710500717162
F,KAN,sunflower,56,T4,16,1.0,1.0,50.18217960993449,2.569169677546306,5.81782039006551
F,KAN,sunflower,60,T5,16,1.0,1.0,65.8030157883962,1.8829280734664668,5.8030157883962
F,KAN,sunflower,64,T1,16,1.0,1.0,64.9704666932424,4.411269027826712,3.9502127170562757
F,KAN,sunflower,68,T2,16,1.0,1.0,67.06814885139465,1.575613548759214,1.5438545544942208
F,KAN,sunflower,72,T3,16,1.0,1.0,70.15742095311484,2.57731644551718,2.531386613845826
F,KAN,sunflower,76,T4,16,1.0,1.0,75.18224809567134,2.3720606833004068,2.0137214461962394
F,KAN,sunflower,80,T5,14,1.0,1.0,80.38602343059722,1.7548299420254023,1.4413552057175423
F,KAN,sunflower,84,T1,16,1.0,1.0,71.53827502330144,9.27867624410197,12.59770534435908
F,KAN,sunflower,88,T2,16,1.0,1.0,87.93424961964288,1.815854304939669,1.5580724875132237
F,KAN,sunflower,92,T3,16,1.0,1.0,93.8921943747749,1.5586620410979364,2.0358764870713166
F,KAN,sunflower,96,T4,16,1.0,1.0,91.84820482134819,0.8792367683200486,4.151795178651811
F,KAN,sunflower,100,T5,17,1.0,1.0,91.97395280061983,1.3827124738616727,8.026047199380164
F,MLP,peanut,4,T1,16,1.0,1.0,14.087698141733805,1.5811892174307034,10.087698141733805
F,MLP,peanut,8,T2,16,0.8125,0.9375,13.276670296986898,1.6465955419153788,5.276670296986898
F,MLP,peanut,12,T3,16,1.0,1.0,11.135677019755045,0.9539283546879127,0.9845978418985997
F,MLP,peanut,16,T4,16,1.0,1.0,18.016756534576416,0.7253288250855304,2.016756534576417
F,MLP,peanut,20,T5,16,1.0,1.0,26.13874912261963,3.498664386056012,6.138749122619628
F,MLP,peanut,24,T1,16,1.0,1.0,30.24096965789795,1.3145408266138243,6.240969657897948
F,MLP,peanut,28,T2,16,1.0,1.0,36.426035801569626,2.0706707013596914,8.426035801569622
F,MLP,peanut,32,T3,16,1.0,1.0,30.971896966298424,2.2308287943505243,1.921189149220782
F,MLP,peanut,36,T4,16,1.0,1.0,34.14324816068013,1.6257921974022274,1.8657551606496168
F,MLP,peanut,40,T5,16,1.0,1.0,43.33290481567383,1.4171119632360325,3.332904815673828
F,MLP,peanut,44,T1,16,1.0,1.0,49.378980000813804,1.2580635593856977,5.378980000813803
F,MLP,peanut,48,T2,16,1.0,1.0,54.66899275779724,1.4143099416887766,6.668992757797242
F,MLP,peanut,52,T3,16,1.0,1.0,51.15021069844564,1.7031574392454432,1.6039252281188965
F,MLP,peanut,56,T4,16,1.0,1.0,55.82296140988667,2.2932297551816774,1.8028763930002851
F,MLP,peanut,60,T5,16,1.0,1.0,59.92241128285726,1.7424399948890663,1.4027983347574873
F,MLP,peanut,64,T1,17,1.0,1.0,67.94486801297057,1.7151515677346216,3.94486801297057
F,MLP,peanut,68,T2,16,1.0,1.0,68.86559089024863,1.508416183886536,1.3412207762400303
F,MLP,peanut,72,T3,16,1.0,1.0,68.80585491657257,1.1373624916068579,3.1941450834274274
F,MLP,peanut,76,T4,16,1.0,1.0,75.77957006295523,1.6153324583612545,1.3407493034998579
F,MLP,peanut,80,T5,16,1.0,1.0,77.68450059493384,1.6209656728608919,2.3848568399747228
F,MLP,peanut,84,T1,16,1.0,1.0,83.91405506928763,1.6400292163264458,1.323601245880126
F,MLP,peanut,88,T2,16,1.0,1.0,86.39626183112462,1.027104332454976,1.6389977733294154
F,MLP,peanut,92,T3,16,1.0,1.0,88.30272062619528,0.9062771023636219,3.6972793738047285
F,MLP,peanut,96,T4,16,1.0,1.0,94.22423371548454,1.6869013354931532,2.141367943336566
F,MLP,peanut,100,T5,16,1.0,1.0,93.14275106601417,1.3796473123503457,6.85724893398583
F,MLP,sunflower,4,T1,16,0.9375,1.0,15.475365956624348,2.407892440484967,11.475365956624348
F,MLP,sunflower,8,T2,16,1.0,0.9375,13.831992944081625,1.772033501018948,5.831992944081625
F,MLP,sunflower,12,T3,15,1.0,1.0,11.740508185492619,1.7741782909989903,1.4169648912217894
F,MLP,sunflower,16,T4,16,0.125,1.0,13.021323998769123,1.2580299842723477,2.978676001230876
F,MLP,sunflower,20,T5,16,1.0,1.0,32.59132305781047,2.338573005327825,12.591323057810467
F,MLP,sunflower,24,T1,16,1.0,1.0,34.57988007863362,2.866080792859441,10.579880078633625
F,MLP,sunflower,28,T2,16,1.0,1.0,35.92095589637756,3.321432115723099,7.920955896377563
F,MLP,sunflower,32,T3,16,1.0,1.0,29.15605560938517,2.3128721347686314,3.1596563657124843
F,MLP,sunflower,36,T4,16,1.0,1.0,27.723245302836098,3.044627736616321,8.276754697163899
F,MLP,sunflower,40,T5,17,1.0,1.0,51.64456273995194,0.9383449276438154,11.644562739951937
F,MLP,sunflower,44,T1,16,1.0,1.0,49.622330506642655,1.6951078183867112,5.622330506642658
F,MLP,sunflower,48,T2,16,1.0,1.0,52.77321036656698,2.4452171454342437,4.845652421315512
F,MLP,sunflower,52,T3,16,1.0,1.0,50.956716537475586,1.858455104159554,1.7637863159179674
F,MLP,sunflower,56,T4,16,1.0,1.0,50.37012966473897,2.435562744313127,5.629870335261027
F,MLP,sunflower,60,T5,16,1.0,1.0,65.9308420419693,2.114744905073861,5.930842041969302
F,MLP,sunflower,64,T1,16,1.0,1.0,64.7579582532247,3.1011045558781736,2.5059175491333
F,MLP,sunflower,68,T2,16,1.0,1.0,68.55824406941731,1.5049942413826916,1.241278251012167
F,MLP,sunflower,72,T3,16,1.0,1.0,69.48350481192271,1.7129651484969508,2.592531005541483
F,MLP,sunflower,76,T4,16,1.0,1.0,73.17091023921967,2.837778918544473,3.234501878420512
F,MLP,sunflower,80,T5,14,1.0,1.0,80.68538007282076,1.4860668744485015,1.447000639779228
F,MLP,sunflower,84,T1,16,1.0,1.0,83.0946830312411,2.655014926000983,2.142426550388336
F,MLP,sunflower,88,T2,16,1.0,1.0,85.9283638795217,1.634321571828198,2.121833999951682
F,MLP,sunflower,92,T3,16,1.0,1.0,88.01885747909546,1.8085909942265868,3.9910900195439645
F,MLP,sunflower,96,T4,16,1.0,1.0,94.02064563333988,2.2050199200144096,2.452964787681897
F,MLP,sunflower,100,T5,17,1.0,1.0,96.50098353156855,1.3107689136126874,3.499016468431435
F,PLS,peanut,4,T1,16,1.0,0.8125,8.841343125000002,1.7151771146666601,4.841343125000002
F,PLS,peanut,8,T2,16,0.0625,1.0,15.571438125,1.7413303704704974,7.571438125000001
F,PLS,peanut,12,T3,16,1.0,1.0,12.8099975,1.7789489085993053,1.3698549999999994
F,PLS,peanut,16,T4,16,1.0,1.0,16.008909375,1.0252451107611225,0.7874831250000014
F,PLS,peanut,20,T5,16,1.0,1.0,25.53362875,0.8772239850640576,5.533628749999999
F,PLS,peanut,24,T1,16,1.0,1.0,25.926269375,1.2616155834403682,1.9423643749999995
F,PLS,peanut,28,T2,16,1.0,1.0,31.813286875000003,1.9614425187047704,3.8753256250000008
F,PLS,peanut,32,T3,16,1.0,1.0,29.3641025,1.4409402497651786,2.6358975000000004
F,PLS,peanut,36,T4,16,1.0,1.0,33.320270625,1.150298634827604,2.679729375000001
F,PLS,peanut,40,T5,16,1.0,1.0,43.10091125,1.8962878378097032,3.1379225
F,PLS,peanut,44,T1,16,1.0,1.0,43.363834374999996,0.8506999153322217,0.7615406249999994
F,PLS,peanut,48,T2,16,1.0,1.0,50.710156250000004,1.6855230032678288,2.7101562500000007
F,PLS,peanut,52,T3,16,1.0,1.0,48.314646875,1.8345984781879616,3.7660281250000005
F,PLS,peanut,56,T4,16,1.0,1.0,51.734820625,0.853013137628167,4.265179375000001
F,PLS,peanut,60,T5,16,1.0,1.0,61.909801875,1.9085666409471393,2.341874374999999
F,PLS,peanut,64,T1,17,1.0,1.0,63.81610117647059,1.6068948472943176,1.173648235294117
F,PLS,peanut,68,T2,16,1.0,1.0,67.95764375,1.8929691609950585,1.6199187499999992
F,PLS,peanut,72,T3,16,1.0,1.0,69.579083125,1.5929977622655087,2.5438181249999996
F,PLS,peanut,76,T4,16,1.0,1.0,73.094705,1.5220015290136866,2.9052950000000015
F,PLS,peanut,80,T5,16,1.0,1.0,82.62518999999999,2.348901096359743,2.9476924999999996
F,PLS,peanut,84,T1,16,1.0,1.0,84.752344375,1.979866823053069,1.5233443749999998
F,PLS,peanut,88,T2,16,1.0,1.0,91.48090250000001,1.734122688222108,3.4809025
F,PLS,peanut,92,T3,16,1.0,1.0,92.9274725,1.8453581798574148,1.6500037500000015
F,PLS,peanut,96,T4,16,1.0,1.0,95.933773125,2.189015763554383,1.9017606249999996
F,PLS,peanut,100,T5,16,1.0,1.0,100.0,0.0,0.0
F,PLS,sunflower,4,T1,16,0.9375,0.8125,9.637655625,2.2200840911850435,5.637655625000001
F,PLS,sunflower,8,T2,16,1.0,1.0,15.327314375,1.884789379847587,7.327314375
F,PLS,sunflower,12,T3,15,1.0,1.0,15.941005333333335,1.5489656953540993,3.941005333333334
F,PLS,sunflower,16,T4,16,0.75,0.8125,10.006084375,2.1026520087418783,5.993915625
F,PLS,sunflower,20,T5,16,1.0,1.0,26.800242499999996,1.5185685443798698,6.800242499999998
F,PLS,sunflower,24,T1,16,1.0,1.0,27.631609375,2.1325623584988653,3.631609375
F,PLS,sunflower,28,T2,16,1.0,1.0,32.780464375,1.8734704008691787,4.780464374999999
F,PLS,sunflower,32,T3,16,1.0,1.0,30.36100625,1.9671435927180474,2.164966250000001
F,PLS,sunflower,36,T4,16,1.0,1.0,28.586934375,1.9539805103052887,7.413065624999999
F,PLS,sunflower,40,T5,17,1.0,1.0,45.2396394117647,1.715791948876927,5.239639411764706
F,PLS,sunflower,44,T1,16,1.0,1.0,42.46452375,1.7701278478982811,1.8819400000000002
F,PLS,sunflower,48,T2,16,1.0,1.0,50.276464375,2.0346338922599614,2.6224756250000003
F,PLS,sunflower,52,T3,16,1.0,1.0,48.643918125,1.6963617856389748,3.3560818750000005
F,PLS,sunflower,56,T4,16,1.0,1.0,50.052664375,1.5769359319937246,5.947335625000001
F,PLS,sunflower,60,T5,16,1.0,1.0,64.39256499999999,1.2872471228530036,4.392564999999999
F,PLS,sunflower,64,T1,16,1.0,1.0,61.962505625000006,2.371081556974843,2.444475625
F,PLS,sunflower,68,T2,16,1.0,1.0,67.382125625,2.540361157670219,1.9792531249999992
F,PLS,sunflower,72,T3,16,1.0,1.0,69.39550687500001,2.5765281905895994,2.8401393750000006
F,PLS,sunflower,76,T4,16,1.0,1.0,74.256804375,1.558733313717556,2.047905625000002
F,PLS,sunflower,80,T5,14,1.0,1.0,83.06965214285712,1.8296369300752147,3.0696521428571435
F,PLS,sunflower,84,T1,16,1.0,1.0,82.02697375,2.656369470009458,2.7442862499999983
F,PLS,sunflower,88,T2,16,1.0,1.0,90.002721875,3.878460430571592,3.3166631250000016
F,PLS,sunflower,92,T3,16,1.0,1.0,91.646054375,1.6847143893173477,1.3117831250000007
F,PLS,sunflower,96,T4,16,1.0,1.0,98.015084375,1.7547727988734765,2.4935206250000004
F,PLS,sunflower,100,T5,17,1.0,1.0,99.85283,0.46434125928566866,0.1471700000000002
F,RF,peanut,4,T1,16,0.8125,1.0,16.899700208333332,4.688635541862103,12.899700208333332
F,RF,peanut,8,T2,16,0.0,1.0,17.505477708333338,1.261677375022644,9.505477708333334
F,RF,peanut,12,T3,16,0.5,1.0,19.2462475,2.715659056825391,7.246247499999999
F,RF,peanut,16,T4,16,1.0,1.0,22.906475208333333,6.858548813440641,7.1509602083333315
F,RF,peanut,20,T5,16,0.3125,1.0,22.3107375,1.7144408529855812,2.3204595833333315
F,RF,peanut,24,T1,16,1.0,1.0,38.354694583333334,17.338384093562013,16.539349166666664
F,RF,peanut,28,T2,16,0.9375,0.9375,26.871131875,5.9222591699513245,3.275012708333332
F,RF,peanut,32,T3,16,0.75,0.6875,17.215253750000002,10.270287062185561,15.20202
F,RF,peanut,36,T4,16,1.0,0.9375,25.915209375000003,15.061634569296682,16.576346458333333
F,RF,peanut,40,T5,16,1.0,1.0,40.441034375,5.976209311129357,5.090352708333334
