model,cfg,T1,T2,T3,T4,T5
KAN,best_factors,0.9373837848392793,0.9941641925987144,0.9881978687783541,0.9878039955878949,0.9678494057011179
KAN,published,0.8413824371659396,0.9770393715012853,0.9785821278375885,0.9643613531245793,0.9406640450924488
MLP,published,0.8853351905837954,0.9758415000830506,0.9944480626672788,0.9848704913464578,0.9320762651412612
PLS,published,0.9685969347594673,0.97018517942032,0.9941834515960728,0.9892246449245613,0.9521901332171083
