model,cfg,mean,std,min,count
KAN,best_factors,0.9750798495010722,0.023299522974713622,0.9373837848392793,5
KAN,published,0.9404058669443683,0.05739993939691633,0.8413824371659396,5
MLP,published,0.9545143019643687,0.04544300772713267,0.8853351905837954,5
PLS,published,0.9748760687835059,0.016990735033974393,0.9521901332171083,5
