model,cfg,mean,std,min,max,count
KAN,best_factors,0.9919051071735057,0.0040638568752684595,0.9847602277766091,0.9948644006491181,5
KAN,published,0.9796691825085585,0.01181645729679346,0.9606342124277854,0.988001973327774,5
MLP,published,0.9873253007940829,0.0017469773447708395,0.9854414353830513,0.98965800808038,5
PLS,published,0.9943223164955398,,0.9943223164955398,0.9943223164955398,1
