channel_cm-1,series,coef_c_alone,coef_c_adj_vapour,p_c_adj_vapour,coef_vapour,p_vapour,coef_c_adj_vapour_lot,p_c_adj_vapour_lot,R2_c_alone,R2_c_vapour_lot
3022,peanut,-0.028372782415496525,-0.026978638340147323,3.3334811612643515e-14,0.1385465260320186,0.03449015806500399,-0.02635185191428578,6.318128017924617e-17,0.8901427819324352,0.9682653807299182
3022,sunflower,-0.012103790068579737,-0.0017959337406639215,0.7144884517553041,0.662844223334802,0.0003364648441382508,-0.0023504851420778597,0.502788378463245,0.16199387141531918,0.7860752609650942
3005,peanut,-0.028516000532551055,-0.028436501068753083,2.535887632285221e-14,0.007900456434433016,0.903918180889249,-0.02784387501372569,4.8790253168097976e-18,0.8991518614831027,0.9719002483588935
3005,sunflower,0.010583077740855191,0.01866882399069684,0.002379603821171833,0.519951968921384,0.009143388389893743,0.016800545621929827,4.2766767338077665e-05,0.12384537489558989,0.8001777361780371
2962,peanut,-0.027092464503692675,-0.0255210784452508,9.729093922670282e-11,0.15616038779760807,0.07197609246626183,-0.02483950556240834,1.8238642261259963e-11,0.8116201963612204,0.9074736439486669
2962,sunflower,-0.024220142529666738,-0.017158071973624747,5.065595949078581e-06,0.4541247495056718,0.00011263971857929968,-0.016970439249497295,1.089785719195689e-06,0.6486481868958522,0.8797349131783251
1502,peanut,-0.023557402720559194,-0.025808713306068567,9.943562349664936e-08,-0.2237295744080848,0.07185684282298609,-0.025833115752483093,7.542239881355987e-10,0.6136357200769456,0.8533014180321811
1502,sunflower,-0.023082472171356914,-0.0276352136033901,1.914198441082971e-07,-0.29276294338595826,0.036001877329012985,-0.027577265788541527,3.271190095962233e-08,0.5891426456584952,0.7933393298381889
1490,peanut,-0.02736453587815632,-0.028594141532093602,4.5419437913654054e-12,-0.12219511222300664,0.14475493760888936,-0.028706902228359497,1.7382342996420596e-15,0.828003156921244,0.9489792466475109
1490,sunflower,-0.0280034374846484,-0.030212158226147996,3.8801036346225726e-13,-0.14203125634355676,0.07707552483713588,-0.030052206469802098,1.4400896223567097e-14,0.8671186155635175,0.9445186823674872
1487,peanut,-0.0283935793773691,-0.029187741067958854,1.76040374164617e-14,-0.07892178813108883,0.2390331881200028,-0.029200102583844784,4.237173989569326e-18,0.8914481914532413,0.9694864275780434
1487,sunflower,-0.028823988831510567,-0.03022613010647502,1.7364470883772677e-15,-0.0901643576358811,0.15563501931468438,-0.03007178743132562,2.5324934758282643e-17,0.9186794063643706,0.9689905596953511
1472,peanut,0.024047581563169256,0.02158520684859861,8.697308773690521e-07,-0.24470459583410994,0.039712287414612565,0.021001359813110763,1.434739204557083e-10,0.6394382807285766,0.918471318807364
1472,sunflower,-0.027763977783504597,-0.030533043533317858,5.571201313377026e-13,-0.17806410740583997,0.03314931693480238,-0.030045816443686812,4.828531040812836e-15,0.8523524147047646,0.9499115384950827
1447,peanut,-0.027361249257675038,-0.02837633573527656,7.36699205671258e-12,-0.10087673690292011,0.23194337654010738,-0.02795531232859352,1.4709912574915204e-15,0.8278042740515859,0.9523556782267742
1447,sunflower,-0.028023044294773328,-0.02784257125375649,8.741256483294175e-12,0.011605275519964736,0.8879023837144515,-0.02763854968716381,1.8156012037250344e-12,0.8683332794345386,0.9256069707787246
1302,peanut,0.016453676161339168,0.021146202658174768,4.76975436686234e-05,0.4663314616797562,0.003453913716306855,0.021890100421227354,2.48435304848158e-05,0.29935168709399584,0.6179998428756691
1302,sunflower,0.012925759869210181,0.021525667264657697,0.00030508487069563566,0.5530149777940503,0.0035105692880846966,0.02304915454733585,0.00022959903157198096,0.18474299770691693,0.498396322577323
1286,peanut,-0.01750965052918857,-0.013880223515768073,0.004955799440053749,0.3606833132151145,0.02402030783046039,-0.013900805580845211,0.0004330322093097032,0.3390086470246547,0.7475983095703578
1286,sunflower,0.02665953057110975,0.029879099931877356,6.928480002338837e-11,0.20703363381491996,0.040315581011465214,0.030671897367860728,2.2134962997580425e-12,0.7858882857489677,0.9065955656134377
1242,peanut,-0.029414063601679894,-0.028893964246146795,2.1711352998753426e-19,0.05168616370051615,0.22178033472239198,-0.02898714227400396,1.0333711285224958e-21,0.9566781911910928,0.9856770787375371
1242,sunflower,-0.029123765272046288,-0.02834379971083697,5.379344755910138e-16,0.05015549792322518,0.37158822916683887,-0.027455424332918508,3.769474018413711e-17,0.937887750440968,0.973202386120048
1235,peanut,-0.029178955944478786,-0.028233241826549627,6.05290778317662e-18,0.0939826865639414,0.050862002195927895,-0.028343829137800872,9.336910162895019e-20,0.94144578637869,0.9795736161720588
1235,sunflower,-0.028422741428701766,-0.026541634412717598,7.103994605289086e-13,0.12096413447700649,0.09390328039829504,-0.02543320144463676,1.2762391760655047e-13,0.8932802822650253,0.9511931752663892
1227,peanut,-0.028273477621134042,-0.026586809751719606,3.80148780771516e-14,0.16761680375011775,0.011306716424913288,-0.02688987730960568,1.3033198950081982e-16,0.883922683212233,0.9647039186649804
1227,sunflower,-0.025502542638929895,-0.021984028649627986,4.5313859040793383e-07,0.22625719629165825,0.051254359531313895,-0.020415673934178178,5.4780635315899335e-08,0.719155463414392,0.879724593723483
1196,peanut,-0.02423653391138766,-0.02047032094043886,1.5522512768812136e-07,0.3742767570783415,0.0006496061481200498,-0.02078316745643368,5.231048249112852e-07,0.6495264507452944,0.798713949191359
1196,sunflower,-0.02556842614135048,-0.02044133616600457,2.6309771075183224e-07,0.3296962884001468,0.0027238335185628374,-0.019897926460340668,5.704360954791388e-07,0.722876008692596,0.8479124904988496
1180,peanut,-0.027183864547315584,-0.026407654391348352,9.212594071250328e-11,0.07713780984443488,0.3780397434458239,-0.02664334175870282,7.173863086068577e-10,0.8171056517714743,0.8447805066546239
1180,sunflower,-0.028141731629574094,-0.024822030075579746,1.780398707793412e-12,0.21347261043030438,0.003976996262353346,-0.024899000475278366,1.12955969975645e-11,0.8757042423732804,0.9277376406149652
1140,peanut,-0.028326277115570803,-0.0279383966633339,1.284491302038174e-13,0.03854658218139504,0.5764874220740517,-0.02835408582053769,4.4617845271807085e-13,0.887227140424646,0.9161478311612984
1140,sunflower,-0.002997947724317161,0.0032753957341940506,0.6079327375510009,0.40340584309541866,0.06514034957415418,0.004564356355748839,0.34170145855717804,0.009938113007521787,0.6033438648770844
989,peanut,0.017460912536947537,0.019729526891240214,0.0003511483555238004,0.2254491793575144,0.1715497993780329,0.019748905397457963,0.0003009145413613863,0.3371240171163913,0.5249760583032963
989,sunflower,0.029760173658688147,0.02939123510668343,1.795611170867628e-22,-0.023724504900164867,0.4649450355702768,0.029174660652116647,1.4502576636197462e-20,0.9793247754251213,0.9850509422670207
974,peanut,-0.020972233650225637,-0.019350395442058316,0.00011719312616418762,0.16117419533651378,0.2697548444605781,-0.019298827308896645,2.9216538699250477e-05,0.48634582767474677,0.6955134561210734
974,sunflower,0.029552180357626443,0.02898492221103739,1.6908950551524788e-19,-0.036477398757282654,0.38213305803001185,0.028430672491073533,4.819632373161913e-18,0.9656836460481317,0.9761414645331496
