n_components,selected_cm-1,matches_published_16
8,"[3022, 3005, 2962, 1502, 1487, 1472, 1447, 1308, 1286, 1242, 1227, 1196, 1180, 1140, 989, 974]",15
12,"[3022, 3005, 2962, 1502, 1487, 1472, 1447, 1302, 1286, 1242, 1227, 1196, 1180, 1140, 989, 974]",16
